Product Designer,Product Name,Product Price,Product No,Product Discount,Product Features
,Dora linen minidress,€ 235,P00697841,10% off over €600,"['material: 100% linen', 'care instructions: hand wash', 'side slit pockets', 'Made in the USA']"
VINCE,High-rise cropped cotton-blend pants,€ 295,P00727516,10% off over €600,"['material: 66% cotton, 31% viscose, 3% elastane', 'care instructions: hand wash', 'side slit pockets, faux pockets', 'zipper fly, button fastening']"
FRAME,Le High cropped straight jeans,€ 199,P00683891,10% off over €600,"['care instructions: machine wash cold', 'five pockets', 'zipper fly, button fastening', 'Made in Turkey']"
JARDIN DES ORANGERS,Wool and cashmere sweater midi dress,€ 339,P00718713,,"['material: 70% virgin wool, 30% cashmere', 'care instructions: hand wash', 'Made in China', 'Designer colour name: 225-41']"
SAINT LAURENT,Embellished satin gown,"€ 2,935",P00728419,,"['material: 100% viscose', 'material II: 65% viscose, 35% cupro', 'material III: 100% silk', 'care instructions: dry clean']"
GIVENCHY,Lace-trimmed cotton T-shirt,€ 379,P00692700,,"['material: 100% cotton', 'details: 77% viscose, 23% polyamide', 'care instructions: machine wash at 30 degrees', 'Made in Portugal', 'Designer colour name: White']"
TOM FORD,Ruched leather jacket,"€ 2,819",P00696246,,"['material: 100% lamb leather', 'material II: 98% viscose, 2% elastane', 'lining: 57% cupro, 43% polyester', 'care instructions: specialist clean']"
POLO RALPH LAUREN,Cotton-blend polo midi dress,€ 169,P00647938,10% off over €600,"['material: 97% cotton, 3% elastane', 'care instructions: machine wash at 30 degrees', 'partially buttoned front', 'Made in Turkey']"
ETRO,Paisley drawstring pants,€ 335,P00705781,,"['material: 100% ramie', 'care instructions: machine wash at 30 degrees', 'side slit pockets', 'Made in Italy', 'elasticated drawstring waist']"
LOVESHACKFANCY,Olani cotton minidress,€ 325,P00698982,10% off over €600,"['material: 100% cotton', 'care instructions: machine wash cold', 'self-ties', 'Made in India']"
TOTÊME,High-rise barrel-leg jeans,€ 215,P00695802,,"['material: 100% cotton', 'five pockets', 'zipper fly, button fastening']"
NENSI DOJAKA,Exclusive to Mytheresa – Cutout swimsuit,€ 365,P00673355,10% off over €600,"['material: 72% polyester, 28% elastane', 'lining: 73% polyester, 27% elastane', 'care instructions: hand wash']"
AGUA BY AGUA BENDITA,Kiwi floral balconette bikini top,€ 125,P00673670,,"['material: 81% recycled polyester, 19% elastane', 'lining: 86% polyester, 14% elastane, fully lined', 'care instructions: hand wash']"
JARDIN DES ORANGERS,Virgin wool and cashmere cardigan,€ 269,P00722217,,"['material: 70% virgin wool, 30% cashmere', 'care instructions: hand wash', 'slit pockets', 'Made in China', 'Designer colour name: 83']"
VINCE,Ribbed-knit cardigan,€ 295,P00693357,10% off over €600,"['material: 52% polyester, 48% cotton', 'care instructions: hand wash', 'buttoned front', 'Made in China', 'Designer colour name: Dk Jade']"
JARDIN DES ORANGERS,V-neck wool and cashmere sweater,€ 229,P00722148,10% off over €600,"['material: 70% virgin wool, 30% cashmere', 'care instructions: hand wash', 'Made in China', 'Designer colour name: 225-60']"
ALEXANDER MCQUEEN,Asymmetric ruffled faille gown,"€ 6,305",P00732140,,"['material: 100% polyester', 'care instructions: specialist clean', 'zipped back']"
LOEWE,Glove-print velvet jersey midi dress,€ 825,P00725399,,"['material: 93% polyester, 7% elastane', 'material II: 96% viscose, 4% elastane', 'lining: 92% cupro, 8% elastane, fully lined', 'care instructions: dry clean']"
ALEXANDRE VAUTHIER,Asymmetric zipped denim minidress,"€ 1,249",P00707930,10% off over €600,"['material: 100% cotton', 'care instructions: specialist clean', 'zipped pockets']"
DION LEE,Lace-insert mesh jersey slip dress,€ 989,P00658463,10% off over €600,"['material: 100% polyamide', 'material II: 65% polyamide, 35% viscose', 'care instructions: do not clean']"
TOM FORD,Cashmere and silk sweater,€ 835,P00711657,,"['material: 70% cashmere, 30% silk', 'care instructions: dry clean', 'Made in Italy', 'Designer colour name: Dark Orchid']"
THE ATTICO,Pocket denim jacket,€ 649,P00684892,,"['material: 100% cotton', 'pocket lining: 100% cotton', 'care instructions: hand wash']"
KARLA COLLETTO,Exclusive to Mytheresa – Basics ruched swimsuit,€ 209,P00676521,10% off over €600,"['material: 72% nylon, 28% elastane', 'care instructions: hand wash', 'Made in the USA']"
RASARIO,Feather-embellished bralette,€ 729,P00716131,,"['material: 97% polyester, 3% elastane', 'trim: ostrich feathers', 'lining: 98% polyester, 2% elastane, fully lined', 'care instructions: dry clean']"
TOTÊME,Country cotton jacket,€ 565,P00728508,,"['material: 100% cotton', 'lining: 100% viscose, fully lined', 'care instructions: spot clean']"
ALÉMAIS,Mia paisley linen midi dress,€ 455,P00716741,10% off over €600,"['material: 100% linen', 'care instructions: dry clean', 'partially buttoned front']"
JARDIN DES ORANGERS,Wool and cashmere sweater dress,€ 339,P00718714,,"['material: 70% wool, 30% cashmere', 'care instructions: hand wash', 'Made in China', 'long vent']"
MONCLER,Fourmine down jacket,€ 885,P00708397,,"['material: 100% polyamide', 'filling: 90% down, 10% goose feathers', 'lining: 100% polyamide, fully lined', 'care instructions: hand wash']"
ALEXANDER MCQUEEN,Denim blazer,"€ 1,505",P00695873,,"['material: 98% cotton, 2% elastane', 'lining: 100% cupro, fully lined', 'pocket lining: 65% polyester, 35% cotton']"
BALENCIAGA,Racerback sports bra,€ 495,P00735506,,"['material: 80% polyester, 20% elastane', 'care instructions: machine wash at 30 degrees', 'Made in Italy']"
GIVENCHY,Ruffled ribbed-knit minidress,"€ 1,005",P00692659,,"['material: 69% viscose, 31% polyamide', 'care instructions: dry clean', 'zipped side', 'Made in Italy']"
PACO RABANNE,Floral jacquard crop top,€ 415,P00680566,,"['material: 82% viscose, 18% polyester', 'care instructions: machine wash at 30 degrees', 'partially buttoned front', 'Made in Romania', 'elasticated cuffs']"
NORMA KAMALI,Spat floral high-rise leggings,€ 159,P00675921,10% off over €600,"['material: 95% polyester, 5% elastane', 'care instructions: machine wash at 30 degrees', 'Made in the USA', 'Designer colour name: Rose Garden']"
NORMA KAMALI,V-neck maxi gown,€ 179,P00675913,10% off over €600,"['material: 95% polyester, 5% elastane', 'care instructions: hand wash', 'Made in China', 'elasticated waistband']"
REDVALENTINO,Wrap coat,€ 695,P00702778,10% off over €600,"['material: 79% wool, 21% polyamide', 'pocket lining: 64% acetate, 36% polyester', 'care instructions: dry clean', 'side slit pockets', 'snap-buttoned front']"
