,Product Designer,Product Name,Product Price,Product No,Product Discount,Product Material,Product Lining,Product Care Instructions,Product Manufacturing Country,Product Colour
0,VINCE,Dora linen minidress,235.0,P00697841,10% off over €600,100% linen,"100% polyester, fully lined",hand wash,USA,Black
1,VINCE,High-rise cropped cotton-blend pants,295.0,P00727516,10% off over €600,"66% cotton, 31% viscose, 3% elastane","100% polyester, fully lined",hand wash,China,Black
2,FRAME,Le High cropped straight jeans,199.0,P00683891,10% off over €600,100% cotton,"100% polyester, fully lined",machine wash cold,Turkey,Black
3,JARDIN DES ORANGERS,Wool and cashmere sweater midi dress,339.0,P00718713,10% off over €600,"70% virgin wool, 30% cashmere","100% polyester, fully lined",hand wash,China,225-41
4,SAINT LAURENT,Embellished satin gown,329.0,P00728419,10% off over €600,"100% viscose, material II","100% polyester, fully lined",dry clean,China,Black
5,GIVENCHY,Lace-trimmed cotton T-shirt,379.0,P00692700,10% off over €600,100% cotton,"100% polyester, fully lined",machine wash at 30 degrees,Portugal,White
6,TOM FORD,Ruched leather jacket,329.0,P00696246,10% off over €600,"100% lamb leather, material II","57% cupro, 43% polyester",specialist clean,China,Black
7,POLO RALPH LAUREN,Cotton-blend polo midi dress,169.0,P00647938,10% off over €600,"97% cotton, 3% elastane","100% polyester, fully lined",machine wash at 30 degrees,Turkey,Black
8,ETRO,Paisley drawstring pants,335.0,P00705781,10% off over €600,100% ramie,"100% polyester, fully lined",machine wash at 30 degrees,Italy,Black
9,LOVESHACKFANCY,Olani cotton minidress,325.0,P00698982,10% off over €600,100% cotton,"100% polyester, fully lined",machine wash cold,India,Black
10,TOTÊME,High-rise barrel-leg jeans,215.0,P00695802,10% off over €600,100% cotton,"100% polyester, fully lined",dry clean,China,Black
11,NENSI DOJAKA,Exclusive to Mytheresa – Cutout swimsuit,365.0,P00673355,10% off over €600,"72% polyester, 28% elastane","73% polyester, 27% elastane",hand wash,China,Black
12,AGUA BY AGUA BENDITA,Kiwi floral balconette bikini top,125.0,P00673670,10% off over €600,"81% recycled polyester, 19% elastane","86% polyester, 14% elastane, fully lined",hand wash,China,Black
13,JARDIN DES ORANGERS,Virgin wool and cashmere cardigan,269.0,P00722217,10% off over €600,"70% virgin wool, 30% cashmere","100% polyester, fully lined",hand wash,China,83
14,VINCE,Ribbed-knit cardigan,295.0,P00693357,10% off over €600,"52% polyester, 48% cotton","100% polyester, fully lined",hand wash,China,Dk Jade
15,JARDIN DES ORANGERS,V-neck wool and cashmere sweater,229.0,P00722148,10% off over €600,"70% virgin wool, 30% cashmere","100% polyester, fully lined",hand wash,China,225-60
16,ALEXANDER MCQUEEN,Asymmetric ruffled faille gown,329.0,P00732140,10% off over €600,100% polyester,"100% polyester, fully lined",specialist clean,China,Black
17,LOEWE,Glove-print velvet jersey midi dress,825.0,P00725399,10% off over €600,"93% polyester, 7% elastane, material II","92% cupro, 8% elastane, fully lined",dry clean,China,Black
18,ALEXANDRE VAUTHIER,Asymmetric zipped denim minidress,329.0,P00707930,10% off over €600,100% cotton,"100% polyester, fully lined",specialist clean,China,Black
19,DION LEE,Lace-insert mesh jersey slip dress,989.0,P00658463,10% off over €600,"100% polyamide, material II","100% polyester, fully lined",do not clean,China,Black
